,Date,ISIN,Security Description,Indicative Value Of Aggregate Holding Of FPIS (INR CR#),Outstanding Position Of Govt# Securities (INR CR#),Sec Holdings (%)
0,14-Feb-2020,IN0020180454,07.26 GS 2029,6904.83600,118830.80100,5.81
1,14-Feb-2020,IN0020110022,07.80 GS 2021,3911.63900,67492.66100,5.80
2,14-Feb-2020,IN0020190396,06.18 GS 2024,1455.50000,27873.84700,5.22
3,14-Feb-2020,IN0020150093,07.59 GS 2026,5811.82200,119000.00000,4.88
4,14-Feb-2020,IN0020070051,08.13 GS 2022,3433.10000,70495.28000,4.87
5,14-Feb-2020,IN0020140045,08.40 GS 2024,4075.67800,84426.00000,4.83
6,14-Feb-2020,IN0020170026,06.79 GS 2027,5818.52400,121000.00000,4.81
7,14-Feb-2020,IN0020020072,08.35 GS 2022,3674.19000,77000.00000,4.77
8,14-Feb-2020,IN0020140060,08.15 GS 2026,3591.08400,82963.84600,4.33
9,14-Feb-2020,IN0020110030,08.79 GS 2021,3587.72900,83000.00000,4.32
10,14-Feb-2020,IN0020190099,06.17 GS 2021,1385.00000,35000.00000,3.96
11,14-Feb-2020,IN0020190065,07.57 GS 2033,3297.77500,83506.57400,3.95
12,14-Feb-2020,IN0020160050,06.84 GS 2022,3774.66600,99000.00000,3.81
13,14-Feb-2020,IN0020120039,08.33 GS 2026,3203.26000,87000.00000,3.68
14,14-Feb-2020,IN0020190024,07.62 GS 2039,1278.63700,38150.90300,3.35
15,14-Feb-2020,IN0020070069,08.28 GS 2027,2819.69300,90000.72100,3.13
16,14-Feb-2020,IN0020020106,07.95 GS 2032,3666.97000,121000.00000,3.03
17,14-Feb-2020,IN0020150028,07.88 GS 2030,2661.66100,89000.00000,2.99
18,14-Feb-2020,IN0020160019,07.61 GS 2030,2941.94300,100989.43800,2.91
19,14-Feb-2020,IN0020150069,07.59 GS 2029,2763.48600,96236.79300,2.87
20,14-Feb-2020,IN0020120047,08.20 GS 2025,2427.11000,90000.00000,2.70
21,14-Feb-2020,IN0020140052,08.24 GS 2033,2341.81500,99275.00000,2.36
22,14-Feb-2020,IN0020120054,08.12 GS 2020,1197.69900,53673.54400,2.23
23,14-Feb-2020,IN0020160118,06.79 GS 2029,2479.23000,118801.12300,2.09
24,14-Feb-2020,IN0020110063,08.83 GS 2041,1857.40000,90000.00000,2.06
25,14-Feb-2020,IN0020140029,08.27 GS 2020,1065.50200,53907.57900,1.98
26,14-Feb-2020,IN0020090034,07.35 GS 2024,1123.46600,59653.01900,1.88
27,14-Feb-2020,IN0020170042,06.68 GS 2031,1738.75000,93251.70300,1.86
28,14-Feb-2020,IN0020050012,07.40 GS 2035,1451.50000,99245.00000,1.46
29,14-Feb-2020,IN0020140078,08.17 GS 2044,1249.51500,97000.00000,1.29
30,14-Feb-2020,IN0020120062,08.30 GS 2042,1232.64000,104529.44000,1.18
31,14-Feb-2020,IN0020160035,06.97 GS 2026,846.09300,89743.39300,0.94
32,14-Feb-2020,IN0020150051,07.73 GS 2034,923.79000,100000.00000,0.92
33,14-Feb-2020,IN0020180470,07.00 GS 2021,286.20000,33000.00000,0.87
34,14-Feb-2020,IN0020160100,06.57 GS 2033,545.03000,66655.88700,0.82
35,14-Feb-2020,IN0020070044,08.32 GS 2032,678.80000,89434.05000,0.76
36,14-Feb-2020,IN0020160068,07.06 GS 2046,762.60000,100000.00000,0.76
37,14-Feb-2020,IN0020190040,07.69 GS 2043,250.00000,37000.00000,0.68
38,14-Feb-2020,IN0020100031,08.30 GS 2040,602.25000,90000.00000,0.67
39,14-Feb-2020,IN0020060318,07.94 GS 2021,303.80000,49425.00000,0.61
